# backend=neuralfoil
# airfoil=NACA2409
# model_size=small
# mach_model=incompressible_replicated
# generated_offline=true
airfoil,alpha_deg,reynolds,mach,cl,cd,cm,confidence
NACA2409,-90,44721.35955,0,-0.03914349135,1.242658797,-0.01151800005,5.562684646e-308
NACA2409,-90,44721.35955,0.1,-0.03914349135,1.242658797,-0.01151800005,5.562684646e-308
NACA2409,-90,44721.35955,0.2,-0.03914349135,1.242658797,-0.01151800005,5.562684646e-308
NACA2409,-90,44721.35955,0.3,-0.03914349135,1.242658797,-0.01151800005,5.562684646e-308
NACA2409,-90,84255.99872,0,-0.05195344755,1.277716923,-0.01221003497,5.562684646e-308
NACA2409,-90,84255.99872,0.1,-0.05195344755,1.277716923,-0.01221003497,5.562684646e-308
NACA2409,-90,84255.99872,0.2,-0.05195344755,1.277716923,-0.01221003497,5.562684646e-308
NACA2409,-90,84255.99872,0.3,-0.05195344755,1.277716923,-0.01221003497,5.562684646e-308
NACA2409,-90,158740.1052,0,-0.09440601799,1.280087224,-0.001390983618,5.562684646e-308
NACA2409,-90,158740.1052,0.1,-0.09440601799,1.280087224,-0.001390983618,5.562684646e-308
NACA2409,-90,158740.1052,0.2,-0.09440601799,1.280087224,-0.001390983618,5.562684646e-308
NACA2409,-90,158740.1052,0.3,-0.09440601799,1.280087224,-0.001390983618,5.562684646e-308
NACA2409,-90,299069.7562,0,-0.07935434129,1.032721846,0.0003435449475,5.562684646e-308
NACA2409,-90,299069.7562,0.1,-0.07935434129,1.032721846,0.0003435449475,5.562684646e-308
NACA2409,-90,299069.7562,0.2,-0.07935434129,1.032721846,0.0003435449475,5.562684646e-308
NACA2409,-90,299069.7562,0.3,-0.07935434129,1.032721846,0.0003435449475,5.562684646e-308
NACA2409,-90,563453.8228,0,-0.004229677459,0.7807144374,-0.01179550413,5.562684646e-308
NACA2409,-90,563453.8228,0.1,-0.004229677459,0.7807144374,-0.01179550413,5.562684646e-308
NACA2409,-90,563453.8228,0.2,-0.004229677459,0.7807144374,-0.01179550413,5.562684646e-308
NACA2409,-90,563453.8228,0.3,-0.004229677459,0.7807144374,-0.01179550413,5.562684646e-308
NACA2409,-90,1061559.064,0,0.03848772447,0.5979006093,-0.01889083684,5.562684646e-308
NACA2409,-90,1061559.064,0.1,0.03848772447,0.5979006093,-0.01889083684,5.562684646e-308
NACA2409,-90,1061559.064,0.2,0.03848772447,0.5979006093,-0.01889083684,5.562684646e-308
NACA2409,-90,1061559.064,0.3,0.03848772447,0.5979006093,-0.01889083684,5.562684646e-308
NACA2409,-90,2000000,0,0.042655698,0.3961385334,-0.01804508694,5.562684646e-308
NACA2409,-90,2000000,0.1,0.042655698,0.3961385334,-0.01804508694,5.562684646e-308
NACA2409,-90,2000000,0.2,0.042655698,0.3961385334,-0.01804508694,5.562684646e-308
NACA2409,-90,2000000,0.3,0.042655698,0.3961385334,-0.01804508694,5.562684646e-308
NACA2409,-85,1000,0,-0.1515120337,0.2169920197,0.02058325662,5.562684646e-308
NACA2409,-85,1000,0.1,-0.1515120337,0.2169920197,0.02058325662,5.562684646e-308
NACA2409,-85,1000,0.2,-0.1515120337,0.2169920197,0.02058325662,5.562684646e-308
NACA2409,-85,1000,0.3,-0.1515120337,0.2169920197,0.02058325662,5.562684646e-308
NACA2409,-85,1884.021406,0,-0.1612958184,0.1922669678,0.02429136467,5.562684646e-308
NACA2409,-85,1884.021406,0.1,-0.1612958184,0.1922669678,0.02429136467,5.562684646e-308
NACA2409,-85,1884.021406,0.2,-0.1612958184,0.1922669678,0.02429136467,5.562684646e-308
NACA2409,-85,1884.021406,0.3,-0.1612958184,0.1922669678,0.02429136467,5.562684646e-308
NACA2409,-85,3549.53666,0,-0.1841654246,0.1785313133,0.02750644681,5.562684646e-308
NACA2409,-85,3549.53666,0.1,-0.1841654246,0.1785313133,0.02750644681,5.562684646e-308
NACA2409,-85,3549.53666,0.2,-0.1841654246,0.1785313133,0.02750644681,5.562684646e-308
NACA2409,-85,3549.53666,0.3,-0.1841654246,0.1785313133,0.02750644681,5.562684646e-308
NACA2409,-85,6687.40305,0,-0.2106305906,0.1903556158,0.02592230067,5.562684646e-308
NACA2409,-85,6687.40305,0.1,-0.2106305906,0.1903556158,0.02592230067,5.562684646e-308
NACA2409,-85,6687.40305,0.2,-0.2106305906,0.1903556158,0.02592230067,5.562684646e-308
NACA2409,-85,6687.40305,0.3,-0.2106305906,0.1903556158,0.02592230067,5.562684646e-308
NACA2409,-85,12599.2105,0,-0.2396618782,0.2659908415,0.02086795534,5.562684646e-308
NACA2409,-85,12599.2105,0.1,-0.2396618782,0.2659908415,0.02086795534,5.562684646e-308
NACA2409,-85,12599.2105,0.2,-0.2396618782,0.2659908415,0.02086795534,5.562684646e-308
NACA2409,-85,12599.2105,0.3,-0.2396618782,0.2659908415,0.02086795534,5.562684646e-308
NACA2409,-85,23737.18228,0,-0.2006907024,0.4325764566,0.009454505537,5.562684646e-308
